UPRN,nearest_rd
38000554,id26591034-E445-4B7F-80AA-E7EEBF03F2FC
38000555,id26591034-E445-4B7F-80AA-E7EEBF03F2FC
38000556,id26591034-E445-4B7F-80AA-E7EEBF03F2FC
38000557,id26591034-E445-4B7F-80AA-E7EEBF03F2FC
38000558,id5852DA83-18B0-4700-87C4-C8539FC17265
38000559,id26591034-E445-4B7F-80AA-E7EEBF03F2FC
38000560,id5852DA83-18B0-4700-87C4-C8539FC17265
38000561,id26591034-E445-4B7F-80AA-E7EEBF03F2FC
38000562,id5852DA83-18B0-4700-87C4-C8539FC17265
38000563,id5852DA83-18B0-4700-87C4-C8539FC17265
38000564,id5852DA83-18B0-4700-87C4-C8539FC17265
38000565,id5852DA83-18B0-4700-87C4-C8539FC17265
38000566,id5852DA83-18B0-4700-87C4-C8539FC17265
38000567,id5852DA83-18B0-4700-87C4-C8539FC17265
38000568,id5852DA83-18B0-4700-87C4-C8539FC17265
38000569,id5852DA83-18B0-4700-87C4-C8539FC17265
38000570,id5852DA83-18B0-4700-87C4-C8539FC17265
38000571,id5852DA83-18B0-4700-87C4-C8539FC17265
38000572,id5852DA83-18B0-4700-87C4-C8539FC17265
38000573,id5852DA83-18B0-4700-87C4-C8539FC17265
38000574,id5852DA83-18B0-4700-87C4-C8539FC17265
38000575,id5852DA83-18B0-4700-87C4-C8539FC17265
38000576,id5852DA83-18B0-4700-87C4-C8539FC17265
38000577,id5852DA83-18B0-4700-87C4-C8539FC17265
38000578,id5852DA83-18B0-4700-87C4-C8539FC17265
38000579,id5852DA83-18B0-4700-87C4-C8539FC17265
38000580,id5852DA83-18B0-4700-87C4-C8539FC17265
38000581,id5852DA83-18B0-4700-87C4-C8539FC17265
38000582,id5852DA83-18B0-4700-87C4-C8539FC17265
38000583,id5852DA83-18B0-4700-87C4-C8539FC17265
38000584,id5852DA83-18B0-4700-87C4-C8539FC17265
38000585,id5852DA83-18B0-4700-87C4-C8539FC17265
38000586,id5852DA83-18B0-4700-87C4-C8539FC17265
38000587,id5852DA83-18B0-4700-87C4-C8539FC17265
38000588,id5852DA83-18B0-4700-87C4-C8539FC17265
38000589,id5852DA83-18B0-4700-87C4-C8539FC17265
38000590,id5852DA83-18B0-4700-87C4-C8539FC17265
38000591,id5852DA83-18B0-4700-87C4-C8539FC17265
38000592,id5852DA83-18B0-4700-87C4-C8539FC17265
38000593,id5852DA83-18B0-4700-87C4-C8539FC17265
38000594,id5852DA83-18B0-4700-87C4-C8539FC17265
38000595,id5852DA83-18B0-4700-87C4-C8539FC17265
38000995,id05D9491B-70C1-4737-8D47-B4DB3F6AE042
38000996,id05D9491B-70C1-4737-8D47-B4DB3F6AE042
38000997,id05D9491B-70C1-4737-8D47-B4DB3F6AE042
38000998,id05D9491B-70C1-4737-8D47-B4DB3F6AE042
38000999,id05D9491B-70C1-4737-8D47-B4DB3F6AE042
38001000,id05D9491B-70C1-4737-8D47-B4DB3F6AE042
38001001,id05D9491B-70C1-4737-8D47-B4DB3F6AE042
38001002,id05D9491B-70C1-4737-8D47-B4DB3F6AE042
38001003,id05D9491B-70C1-4737-8D47-B4DB3F6AE042
38001004,id05D9491B-70C1-4737-8D47-B4DB3F6AE042
38001005,id847E7DBC-7038-4BD1-AB24-B7491894FCAF
38001006,id847E7DBC-7038-4BD1-AB24-B7491894FCAF
38001007,id847E7DBC-7038-4BD1-AB24-B7491894FCAF
38001008,id847E7DBC-7038-4BD1-AB24-B7491894FCAF
38001009,id847E7DBC-7038-4BD1-AB24-B7491894FCAF
38001010,id847E7DBC-7038-4BD1-AB24-B7491894FCAF
38001011,id847E7DBC-7038-4BD1-AB24-B7491894FCAF
38001012,id847E7DBC-7038-4BD1-AB24-B7491894FCAF
38001013,id847E7DBC-7038-4BD1-AB24-B7491894FCAF
38001014,id847E7DBC-7038-4BD1-AB24-B7491894FCAF
